Number of Processes,Memory Used (MB),Time Elapsed (ms)
2398,12944.125,6122498.291969299
2399,12955.578125,6125065.290927887
2400,12959.87890625,6127605.06772995
2401,12948.96484375,6130161.861896515
2402,12949.3984375,6132784.462213516
2403,12948.33203125,6135578.865528107
2404,12960.9921875,6138152.1692276
2405,12950.50390625,6140843.457460403
2406,12961.77734375,6143400.027275085
2407,12980.45703125,6145921.421527863
2408,12954.84375,6148503.31902504
2409,12964.390625,6151018.345832825
2410,12952.4140625,6153569.212436676
2411,12973.41796875,6156085.896492004
2412,12971.1015625,6158743.413925171
2413,12986.78515625,6161341.817140579
2414,12987.19921875,6164013.266801834
2415,13005.15234375,6166591.821432114
2416,12995.54296875,6169133.419036865
2417,13006.63671875,6171665.283441544
2418,13002.01171875,6174198.647737503
2419,12998.0703125,6176793.058872223
2420,13006.53125,6179314.879655838
2421,13020.05078125,6181831.986665726
2422,13007.36328125,6184478.004455566
2423,13009.83203125,6187153.453111649
2424,13019.484375,6189672.004699707
2425,13025.44921875,6192195.459127426
2426,13032.0859375,6194767.152070999
2427,13036.4765625,6197308.2365989685
2428,13057.2890625,6199850.297451019
2429,13061.921875,6202394.962072372
2430,13081.0703125,6204962.90230751
2431,13074.78515625,6207676.825523376
2432,13070.984375,6210226.065158844
2433,13064.15625,6212843.457221985
2434,13063.09765625,6215414.061546326
2435,13059.06640625,6217952.118396759
2436,13059.671875,6220491.4038181305
2437,13058.0625,6223061.898469925
2438,13059.16796875,6225608.119010925
2439,13058.46875,6228143.95570755
2440,13053.19140625,6230952.923536301
2441,13068.5859375,6233507.136821747
2442,13054.87890625,6236219.899177551
2443,13061.27734375,6238745.149612427
2444,13065.66015625,6241288.09928894
2445,13072.5,6243841.0794734955
2446,13081.01953125,6246360.771894455
2447,13085.0390625,6248891.834259033
2448,13072.3984375,6251444.103479385
2449,13086.91796875,6253972.7783203125
2450,13082.88671875,6256692.277431488
2451,13059.30078125,6259218.404531479
2452,13066.51171875,6262017.147779465
2453,13076.84765625,6264563.405752182
2454,13063.9375,6267086.663246155
2455,13072.359375,6269615.792989731
2456,13083.9296875,6272146.188259125
2457,13087.67578125,6274664.757966995
2458,13088.28515625,6277181.928396225
2459,13107.34765625,6279729.681015015
2460,13114.015625,6282360.858201981
2461,13112.890625,6284880.365610123
2462,13121.79296875,6287672.884941101
2463,13120.828125,6290203.457117081
2464,13110.5078125,6292742.303133011
2465,13112.84765625,6295280.5643081665
2466,13114.51171875,6297825.762987137
2467,13133.14453125,6300355.309724808
2468,13151.63671875,6302876.99007988
2469,13157.2578125,6305630.8698654175
2470,13160.39453125,6308176.892280579
2471,13127.11328125,6310820.536613464
2472,13124.9921875,6313349.224805832
2473,13129.4296875,6315887.9289627075
2474,13126.3359375,6318415.059804916
2475,13136.96484375,6320956.500530243
2476,13139.390625,6323507.0786476135
2477,13147.87109375,6326045.449972153
2478,13143.49609375,6328570.683002472
2479,13162.82421875,6331084.916591644
2480,13152.0859375,6333834.102392197
2481,13158.7421875,6336634.245157242
2482,13153.91015625,6339165.790319443
2483,13167.66796875,6341717.306613922
2484,13171.94921875,6344260.733604431
2485,13187.79296875,6346776.812553406
2486,13180.609375,6349343.117713928
